"filename", "language", "Python", "SQL", "comment", "blank", "total"
"c:\Users\Admin\Desktop\Stock API\emailnotifier.py", "Python", 20, 0, 0, 11, 31
"c:\Users\Admin\Desktop\Stock API\stockGUI.py", "Python", 16, 0, 0, 11, 27
"c:\Users\Admin\Desktop\Stock API\stockapi.py", "Python", 46, 0, 5, 28, 79
"c:\Users\Admin\Desktop\Stock API\stocksdatabase.sql", "SQL", 0, 0, 0, 1, 1
"c:\Users\Admin\Desktop\Stock API\test.py", "Python", 23, 0, 2, 27, 52
"c:\Users\Admin\Desktop\Stock API\userlogin.py", "Python", 0, 0, 0, 1, 1
"c:\Users\Admin\Desktop\Stock API\windowsnotifier.py", "Python", 4, 0, 0, 3, 7
"Total", "-", 109, 0, 7, 82, 198
